data_venda,id_venda,id_linha_venda,id_livro,qtde_item,nome_livro,categoria,autor,preco
2025-04-13,2004,2334,1,3,A Menina que Roubava Livros,Ficção,Markus Zusak,71.79
2025-02-06,4245,4575,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,142.72
2024-07-24,6202,6532,3,1,Sapiens,Não Ficção,Yuval Noah Harari,128.14
2025-03-01,2657,2987,5,1,Dom Casmurro,Ficção,Machado de Assis,60.43
2024-08-25,5559,5889,2,2,1984,Ficção,George Orwell,124.55
2024-08-06,8754,9084,9,4,A Revolução dos Bichos,Ficção,George Orwell,48.35
2025-01-05,548,878,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,68.39
2024-08-17,6847,7177,4,3,O Hobbit,Ficção,J.R.R. Tolkien,26.7
2024-08-18,9024,9354,4,3,O Hobbit,Ficção,J.R.R. Tolkien,94.82
2024-09-20,2147,2477,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,116.05
2024-12-25,1294,1624,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,21.12
2024-10-19,2641,2971,4,3,O Hobbit,Ficção,J.R.R. Tolkien,128.76
2024-12-13,3519,3849,5,4,Dom Casmurro,Ficção,Machado de Assis,48.7
2025-05-24,5656,5986,2,5,1984,Ficção,George Orwell,48.42
2024-09-29,4460,4790,3,3,Sapiens,Não Ficção,Yuval Noah Harari,23.46
2025-06-02,7651,7981,2,4,1984,Ficção,George Orwell,27.79
2025-03-12,9301,9631,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,81.85
2025-04-25,2913,3243,8,5,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,49.1
2024-08-19,6591,6921,7,2,O Código Da Vinci,Ficção,Dan Brown,30.19
2024-06-24,72,215,5,4,Dom Casmurro,Ficção,Machado de Assis,82.13
2024-07-02,6893,7223,1,3,A Menina que Roubava Livros,Ficção,Markus Zusak,46.46
2024-12-07,,5042,7,1,O Código Da Vinci,Ficção,Dan Brown,86.82
2025-05-04,9344,9674,4,4,O Hobbit,Ficção,J.R.R. Tolkien,87.63
2025-05-13,3537,3867,5,2,Dom Casmurro,Ficção,Machado de Assis,73.47
2025-03-29,4313,4643,7,2,O Código Da Vinci,Ficção,Dan Brown,105.63
2025-01-19,844,1174,2,2,1984,Ficção,George Orwell,59.63
2025-02-19,7382,7712,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,77.03
2024-10-07,837,1167,6,1,Orgulho e Preconceito,Ficção,Jane Austen,147.9
2025-06-09,6695,7025,5,5,Dom Casmurro,Ficção,Machado de Assis,36.0
2024-07-22,6565,6895,5,5,Dom Casmurro,Ficção,Machado de Assis,37.94
2024-07-28,5617,5947,9,5,A Revolução dos Bichos,Ficção,George Orwell,142.91
2025-02-25,8208,8538,4,3,O Hobbit,Ficção,J.R.R. Tolkien,49.99
2025-04-17,7647,7977,5,3,Dom Casmurro,Ficção,Machado de Assis,55.37
2024-09-18,4743,5073,6,5,Orgulho e Preconceito,Ficção,Jane Austen,138.59
2024-10-29,1857,2187,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,108.97
2024-09-28,4829,5159,9,1,A Revolução dos Bichos,Ficção,George Orwell,48.81
2024-12-04,2461,2791,2,1,1984,Ficção,George Orwell,40.79
2024-12-11,1545,1875,4,4,O Hobbit,Ficção,J.R.R. Tolkien,21.02
2024-11-26,3444,3774,9,3,A Revolução dos Bichos,Ficção,George Orwell,73.24
2024-08-05,2582,2912,3,4,Sapiens,Não Ficção,Yuval Noah Harari,141.59
2024-09-01,7533,7863,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,46.98
2025-06-15,3308,3638,9,4,A Revolução dos Bichos,Ficção,George Orwell,60.89
2024-06-18,7031,7361,4,1,O Hobbit,Ficção,J.R.R. Tolkien,136.36
2025-01-11,1153,1483,4,1,O Hobbit,Ficção,J.R.R. Tolkien,49.11
2025-03-07,5147,5477,6,3,Orgulho e Preconceito,Ficção,Jane Austen,136.3
2025-06-03,7736,8066,4,1,O Hobbit,Ficção,J.R.R. Tolkien,58.4
2025-03-27,9439,9769,6,3,Orgulho e Preconceito,Ficção,Jane Austen,64.06
2024-09-21,7294,7624,9,3,A Revolução dos Bichos,Ficção,George Orwell,128.74
2024-07-15,1877,2207,9,1,A Revolução dos Bichos,Ficção,George Orwell,83.43
2025-04-30,6517,6847,9,3,A Revolução dos Bichos,Ficção,George Orwell,77.2
2025-01-20,3582,3912,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,132.97
2024-12-22,7895,8225,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,136.19
2025-01-04,4547,4877,3,1,Sapiens,Não Ficção,Yuval Noah Harari,100.34
2024-08-05,3455,3785,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,87.02
2024-08-13,3643,3973,8,5,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,39.48
2024-08-16,6784,7114,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,87.19
2025-03-03,3419,3749,7,1,O Código Da Vinci,Ficção,Dan Brown,53.95
2025-04-27,5056,5386,9,4,A Revolução dos Bichos,Ficção,George Orwell,100.73
2024-11-13,3981,4311,3,1,Sapiens,Não Ficção,Yuval Noah Harari,142.04
2024-12-27,7769,8099,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,57.03
2025-02-09,9288,9618,5,3,Dom Casmurro,Ficção,Machado de Assis,84.81
2025-05-01,7466,7796,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,24.42
2024-06-30,3929,4259,2,5,1984,Ficção,George Orwell,71.76
2025-03-13,7570,7900,2,3,1984,Ficção,George Orwell,126.19
2025-03-01,874,1204,3,4,Sapiens,Não Ficção,Yuval Noah Harari,53.79
2025-03-25,6600,6930,3,3,Sapiens,Não Ficção,Yuval Noah Harari,49.46
2025-01-11,7806,8136,6,2,Orgulho e Preconceito,Ficção,Jane Austen,95.75
2025-04-22,8430,8760,5,4,Dom Casmurro,Ficção,Machado de Assis,95.94
2024-06-24,9378,9708,6,5,Orgulho e Preconceito,Ficção,Jane Austen,81.36
2024-11-07,3267,3597,6,3,Orgulho e Preconceito,Ficção,Jane Austen,134.95
2024-12-31,5764,6094,1,3,A Menina que Roubava Livros,Ficção,Markus Zusak,118.59
2024-11-10,1048,1378,3,1,Sapiens,Não Ficção,Yuval Noah Harari,133.13
2024-12-11,1479,1809,2,3,1984,Ficção,George Orwell,69.7
2024-11-07,7274,7604,5,5,Dom Casmurro,Ficção,Machado de Assis,58.26
2024-09-03,2393,2723,5,5,Dom Casmurro,Ficção,Machado de Assis,31.24
2025-05-02,1357,1687,2,1,1984,Ficção,George Orwell,112.96
2024-07-04,5906,6236,5,4,Dom Casmurro,Ficção,Machado de Assis,37.71
2024-09-25,8938,9268,9,1,A Revolução dos Bichos,Ficção,George Orwell,62.41
2024-10-31,761,1091,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,78.59
2025-02-21,3913,4243,3,5,Sapiens,Não Ficção,Yuval Noah Harari,28.55
2024-12-19,4015,4345,1,5,A Menina que Roubava Livros,Ficção,Markus Zusak,92.58
2024-08-27,8476,8806,2,5,1984,Ficção,George Orwell,111.91
2024-09-12,7111,7441,1,5,A Menina que Roubava Livros,Ficção,Markus Zusak,56.4
2025-02-22,2821,3151,5,2,Dom Casmurro,Ficção,Machado de Assis,121.51
2024-11-30,3448,3778,9,3,A Revolução dos Bichos,Ficção,George Orwell,92.02
2025-04-06,6277,6607,7,2,O Código Da Vinci,Ficção,Dan Brown,26.03
2025-01-27,5836,6166,1,2,A Menina que Roubava Livros,Ficção,Markus Zusak,139.41
2024-09-13,6972,7302,3,4,Sapiens,Não Ficção,Yuval Noah Harari,21.78
2025-05-05,2138,2468,5,1,Dom Casmurro,Ficção,Machado de Assis,143.72
2024-12-14,7336,7666,1,2,A Menina que Roubava Livros,Ficção,Markus Zusak,126.2
2024-10-08,326,656,5,5,Dom Casmurro,Ficção,Machado de Assis,119.98
2025-05-21,2736,3066,2,5,1984,Ficção,George Orwell,105.25
2024-10-31,3061,3391,2,2,1984,Ficção,George Orwell,100.05
2025-05-05,3426,3756,3,1,Sapiens,Não Ficção,Yuval Noah Harari,78.77
2025-05-05,3513,3843,2,2,1984,Ficção,George Orwell,116.82
2024-09-29,4549,4879,2,4,1984,Ficção,George Orwell,24.12
2025-03-04,6619,6949,3,4,Sapiens,Não Ficção,Yuval Noah Harari,24.49
2024-10-07,3650,3980,7,3,O Código Da Vinci,Ficção,Dan Brown,132.57
2024-09-26,3309,3639,1,2,A Menina que Roubava Livros,Ficção,Markus Zusak,92.44
2024-10-04,9143,9473,9,3,A Revolução dos Bichos,Ficção,George Orwell,99.3
2025-05-19,6418,6748,2,4,1984,Ficção,George Orwell,83.04
2024-07-17,2606,2936,7,5,O Código Da Vinci,Ficção,Dan Brown,28.63
2025-03-15,588,918,5,2,Dom Casmurro,Ficção,Machado de Assis,25.13
2025-04-18,5876,6206,8,5,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,117.51
2025-05-11,7667,7997,9,2,A Revolução dos Bichos,Ficção,George Orwell,39.2
2024-12-20,5,13,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,69.64
2024-08-01,5281,5611,9,5,A Revolução dos Bichos,Ficção,George Orwell,117.4
2025-06-06,7113,7443,6,4,Orgulho e Preconceito,Ficção,Jane Austen,120.95
2025-04-28,6118,6448,3,5,Sapiens,Não Ficção,Yuval Noah Harari,141.99
2025-03-22,6716,7046,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,72.31
2025-02-15,5797,6127,5,5,Dom Casmurro,Ficção,Machado de Assis,98.86
2025-03-10,6310,6640,6,1,Orgulho e Preconceito,Ficção,Jane Austen,51.35
2024-08-25,8834,9164,7,1,O Código Da Vinci,Ficção,Dan Brown,114.29
2025-04-26,73,220,3,1,Sapiens,Não Ficção,Yuval Noah Harari,104.82
2024-11-19,5328,5658,7,3,O Código Da Vinci,Ficção,Dan Brown,109.75
2025-06-09,3115,3445,9,3,A Revolução dos Bichos,Ficção,George Orwell,119.22
2025-04-07,2356,2686,5,5,Dom Casmurro,Ficção,Machado de Assis,77.86
2024-08-31,5709,6039,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,45.09
2025-03-10,3753,4083,2,1,1984,Ficção,George Orwell,149.86
2024-12-03,8191,8521,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,92.48
2025-04-30,1507,1837,1,2,A Menina que Roubava Livros,Ficção,Markus Zusak,64.93
2024-10-01,192,522,3,5,Sapiens,Não Ficção,Yuval Noah Harari,114.82
2024-08-05,1481,1811,2,4,1984,Ficção,George Orwell,102.6
2024-12-20,3860,4190,2,4,1984,Ficção,George Orwell,83.34
2024-11-11,4,9,6,5,Orgulho e Preconceito,Ficção,Jane Austen,145.66
2024-12-03,1704,2034,2,4,1984,Ficção,George Orwell,109.06
2024-06-22,225,555,4,5,O Hobbit,Ficção,J.R.R. Tolkien,113.46
2024-08-19,3942,4272,2,4,1984,Ficção,George Orwell,73.12
2024-09-22,3523,3853,7,1,O Código Da Vinci,Ficção,Dan Brown,126.78
2024-09-30,1206,1536,3,5,Sapiens,Não Ficção,Yuval Noah Harari,136.13
2025-01-14,7340,7670,9,4,A Revolução dos Bichos,Ficção,George Orwell,49.8
2025-05-31,6294,6624,7,2,O Código Da Vinci,Ficção,Dan Brown,20.17
2025-03-07,3211,3541,5,1,Dom Casmurro,Ficção,Machado de Assis,126.0
2024-06-25,4194,4524,9,5,A Revolução dos Bichos,Ficção,George Orwell,56.08
2025-06-10,9656,9986,9,2,A Revolução dos Bichos,Ficção,George Orwell,88.16
2024-12-10,799,1129,3,2,Sapiens,Não Ficção,Yuval Noah Harari,24.65
2025-05-06,8445,8775,2,3,1984,Ficção,George Orwell,78.29
2024-09-23,5159,5489,3,5,Sapiens,Não Ficção,Yuval Noah Harari,139.83
2024-08-23,7991,8321,5,3,Dom Casmurro,Ficção,Machado de Assis,101.89
2024-10-24,7306,7636,3,2,Sapiens,Não Ficção,Yuval Noah Harari,51.47
2025-03-28,410,740,2,2,1984,Ficção,George Orwell,51.48
2024-12-14,7893,8223,2,4,1984,Ficção,George Orwell,137.69
2025-03-11,8318,8648,2,3,1984,Ficção,George Orwell,63.41
2025-06-05,3437,3767,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,41.59
2025-01-30,1166,1496,4,2,O Hobbit,Ficção,J.R.R. Tolkien,53.8
2024-08-23,8362,8692,9,2,A Revolução dos Bichos,Ficção,George Orwell,61.98
2025-06-05,7684,8014,7,2,O Código Da Vinci,Ficção,Dan Brown,81.36
2025-03-16,2458,2788,1,3,A Menina que Roubava Livros,Ficção,Markus Zusak,135.44
2024-08-31,6628,6958,4,5,O Hobbit,Ficção,J.R.R. Tolkien,102.81
2025-03-01,786,1116,9,5,A Revolução dos Bichos,Ficção,George Orwell,58.15
2024-07-20,8481,8811,3,5,Sapiens,Não Ficção,Yuval Noah Harari,52.88
2025-01-13,3216,3546,9,3,A Revolução dos Bichos,Ficção,George Orwell,145.78
2025-02-11,8887,9217,9,2,A Revolução dos Bichos,Ficção,George Orwell,115.61
2025-02-03,6252,6582,5,3,Dom Casmurro,Ficção,Machado de Assis,131.23
2025-02-15,7699,8029,4,3,O Hobbit,Ficção,J.R.R. Tolkien,41.17
2024-08-01,5037,5367,5,2,Dom Casmurro,Ficção,Machado de Assis,78.62
2024-11-26,8201,8531,3,5,Sapiens,Não Ficção,Yuval Noah Harari,108.0
2025-06-06,4283,4613,5,4,Dom Casmurro,Ficção,Machado de Assis,141.17
2025-03-10,7688,8018,6,5,Orgulho e Preconceito,Ficção,Jane Austen,43.35
2025-03-01,1460,1790,2,2,1984,Ficção,George Orwell,72.78
2025-05-03,4247,4577,1,1,A Menina que Roubava Livros,Ficção,Markus Zusak,48.07
2024-07-31,7616,7946,3,2,Sapiens,Não Ficção,Yuval Noah Harari,115.06
2025-03-07,4753,5083,9,1,A Revolução dos Bichos,Ficção,George Orwell,49.06
2024-08-24,1641,1971,8,1,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,40.76
2025-01-18,7261,7591,5,3,Dom Casmurro,Ficção,Machado de Assis,80.26
2024-08-03,3077,3407,4,1,O Hobbit,Ficção,J.R.R. Tolkien,49.15
2025-04-25,3501,3831,9,2,A Revolução dos Bichos,Ficção,George Orwell,126.03
2024-12-09,3752,4082,9,5,A Revolução dos Bichos,Ficção,George Orwell,36.23
2025-03-12,591,921,2,1,1984,Ficção,George Orwell,109.6
2024-06-16,655,985,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,94.19
2025-01-31,3787,4117,9,2,A Revolução dos Bichos,Ficção,George Orwell,111.91
2025-02-01,7407,7737,5,1,Dom Casmurro,Ficção,Machado de Assis,54.26
2024-08-17,8681,9011,5,2,Dom Casmurro,Ficção,Machado de Assis,140.1
2025-03-31,4805,5135,4,1,O Hobbit,Ficção,J.R.R. Tolkien,58.63
2025-01-26,3674,4004,1,5,A Menina que Roubava Livros,Ficção,Markus Zusak,31.92
2025-03-26,754,1084,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,55.42
2025-04-22,6922,7252,4,5,O Hobbit,Ficção,J.R.R. Tolkien,115.48
2025-03-25,3526,3856,7,4,O Código Da Vinci,Ficção,Dan Brown,47.5
2024-08-03,4531,4861,2,5,1984,Ficção,George Orwell,90.05
2024-10-08,6549,6879,9,2,A Revolução dos Bichos,Ficção,George Orwell,59.6
2024-11-01,3327,3657,7,3,O Código Da Vinci,Ficção,Dan Brown,36.82
2024-08-16,5809,6139,7,2,O Código Da Vinci,Ficção,Dan Brown,107.73
2024-11-11,8062,8392,3,3,Sapiens,Não Ficção,Yuval Noah Harari,106.66
2024-09-18,7068,7398,5,3,Dom Casmurro,Ficção,Machado de Assis,72.16
2024-06-23,5883,6213,1,5,A Menina que Roubava Livros,Ficção,Markus Zusak,41.8
2024-09-10,849,1179,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,141.55
2025-04-11,552,882,3,4,Sapiens,Não Ficção,Yuval Noah Harari,56.82
2024-09-28,8190,8520,5,3,Dom Casmurro,Ficção,Machado de Assis,93.47
2024-10-17,5644,5974,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,60.52
2024-10-12,4783,5113,5,2,Dom Casmurro,Ficção,Machado de Assis,116.87
2025-02-28,8864,9194,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,105.41
2024-10-25,1534,1864,5,4,Dom Casmurro,Ficção,Machado de Assis,85.44
2024-11-28,4685,5015,2,4,1984,Ficção,George Orwell,79.31
2024-12-29,2849,3179,6,5,Orgulho e Preconceito,Ficção,Jane Austen,26.36
2024-08-06,8840,9170,3,4,Sapiens,Não Ficção,Yuval Noah Harari,102.06
2025-05-19,6290,6620,2,1,1984,Ficção,George Orwell,97.01
2024-10-17,4413,4743,2,2,1984,Ficção,George Orwell,63.76
2025-01-17,1133,1463,4,4,O Hobbit,Ficção,J.R.R. Tolkien,22.32
2025-05-12,1127,1457,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,109.18
2025-06-10,7454,7784,7,1,O Código Da Vinci,Ficção,Dan Brown,25.18
2025-05-29,2326,2656,6,3,Orgulho e Preconceito,Ficção,Jane Austen,131.19
2024-12-13,7221,7551,5,4,Dom Casmurro,Ficção,Machado de Assis,34.48
2024-08-07,4857,5187,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,99.0
2024-12-23,6171,6501,5,3,Dom Casmurro,Ficção,Machado de Assis,39.79
2024-12-21,5184,5514,2,5,1984,Ficção,George Orwell,44.14
2024-11-11,6880,7210,6,1,Orgulho e Preconceito,Ficção,Jane Austen,61.33
2025-02-13,5290,5620,7,2,O Código Da Vinci,Ficção,Dan Brown,93.84
2025-05-19,113,336,6,1,Orgulho e Preconceito,Ficção,Jane Austen,109.81
2024-08-31,1634,1964,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,126.61
2024-07-18,1042,1372,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,49.59
2024-08-16,5309,5639,2,3,1984,Ficção,George Orwell,109.75
2024-11-03,1310,1640,5,5,Dom Casmurro,Ficção,Machado de Assis,144.63
2024-12-28,3670,4000,5,1,Dom Casmurro,Ficção,Machado de Assis,131.34
2025-04-13,,2950,7,4,O Código Da Vinci,Ficção,Dan Brown,118.98
2025-02-19,9605,9935,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,67.24
2025-01-19,7497,7827,5,4,Dom Casmurro,Ficção,Machado de Assis,45.97
2025-05-25,8996,9326,3,4,Sapiens,Não Ficção,Yuval Noah Harari,45.26
2024-08-06,3977,4307,9,5,A Revolução dos Bichos,Ficção,George Orwell,80.63
2025-02-26,5156,5486,7,1,O Código Da Vinci,Ficção,Dan Brown,51.32
2025-04-19,967,1297,6,1,Orgulho e Preconceito,Ficção,Jane Austen,41.82
2025-06-01,1622,1952,6,2,Orgulho e Preconceito,Ficção,Jane Austen,114.84
2024-12-06,3474,3804,5,4,Dom Casmurro,Ficção,Machado de Assis,46.08
2024-12-13,2220,2550,2,4,1984,Ficção,George Orwell,149.74
2025-04-13,8981,9311,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,71.02
2024-09-15,7371,7701,4,2,O Hobbit,Ficção,J.R.R. Tolkien,66.64
2024-06-20,3847,4177,5,2,Dom Casmurro,Ficção,Machado de Assis,103.21
2025-05-28,7719,8049,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,90.76
2024-12-09,339,669,4,4,O Hobbit,Ficção,J.R.R. Tolkien,71.27
2024-10-22,6895,7225,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,132.46
2025-04-18,1180,1510,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,136.86
2024-06-16,6553,6883,5,2,Dom Casmurro,Ficção,Machado de Assis,119.57
2025-01-01,904,1234,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,132.01
2024-09-11,2610,2940,5,1,Dom Casmurro,Ficção,Machado de Assis,33.91
2024-08-25,2688,3018,2,2,1984,Ficção,George Orwell,39.3
2024-07-17,2549,2879,1,2,A Menina que Roubava Livros,Ficção,Markus Zusak,51.23
2024-07-03,3001,3331,1,5,A Menina que Roubava Livros,Ficção,Markus Zusak,26.34
2024-12-22,4661,4991,9,1,A Revolução dos Bichos,Ficção,George Orwell,126.76
2025-04-07,1358,1688,2,4,1984,Ficção,George Orwell,141.65
2024-09-07,7021,7351,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,107.53
2024-12-26,7405,7735,2,1,1984,Ficção,George Orwell,142.12
2025-04-01,2511,2841,7,1,O Código Da Vinci,Ficção,Dan Brown,101.25
2025-03-26,625,955,8,4,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,123.27
2024-10-21,1392,1722,3,4,Sapiens,Não Ficção,Yuval Noah Harari,40.17
2025-01-05,9425,9755,4,1,O Hobbit,Ficção,J.R.R. Tolkien,80.85
2024-10-29,733,1063,5,2,Dom Casmurro,Ficção,Machado de Assis,146.08
2024-07-09,6370,6700,1,4,A Menina que Roubava Livros,Ficção,Markus Zusak,62.07
2025-01-19,1090,1420,7,3,O Código Da Vinci,Ficção,Dan Brown,22.51
2024-09-16,6183,6513,1,5,A Menina que Roubava Livros,Ficção,Markus Zusak,124.02
2024-11-30,2712,3042,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,111.57
2024-08-21,2904,3234,5,5,Dom Casmurro,Ficção,Machado de Assis,21.4
2025-04-15,476,806,2,5,1984,Ficção,George Orwell,64.69
2025-04-21,2247,2577,5,3,Dom Casmurro,Ficção,Machado de Assis,149.69
2025-03-03,73,218,9,5,A Revolução dos Bichos,Ficção,George Orwell,81.47
2025-02-24,4116,4446,8,2,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,109.31
2024-09-01,8869,9199,4,5,O Hobbit,Ficção,J.R.R. Tolkien,46.36
2025-02-05,8479,8809,2,1,1984,Ficção,George Orwell,105.45
2025-05-17,3226,3556,9,2,A Revolução dos Bichos,Ficção,George Orwell,129.95
2025-04-09,5276,5606,8,3,O Pequeno Príncipe,Ficção,Antoine de Saint-Exupéry,120.2
2024-08-02,6715,7045,3,4,Sapiens,Não Ficção,Yuval Noah Harari,24.75
2024-06-20,5767,6097,4,1,O Hobbit,Ficção,J.R.R. Tolkien,24.0
2024-10-11,9217,9547,5,2,Dom Casmurro,Ficção,Machado de Assis,69.36
2024-12-22,,5369,5,1,Dom Casmurro,Ficção,Machado de Assis,149.92
2024-12-08,603,933,4,2,O Hobbit,Ficção,J.R.R. Tolkien,80.91
2025-02-12,1228,1558,4,5,O Hobbit,Ficção,J.R.R. Tolkien,57.15
2025-05-05,2820,3150,4,3,O Hobbit,Ficção,J.R.R. Tolkien,82.71
2025-02-17,3120,3450,6,3,Orgulho e Preconceito,Ficção,Jane Austen,23.7
2025-01-17,4011,4341,2,2,1984,Ficção,George Orwell,38.5
